week_end,percent_visits_smoothed_combined,percent_visits_smoothed_influenza,percent_visits_smoothed_covid
2023-01-07,8.23974683544304,4.9993670886075945,2.5245569620253163
2023-01-14,5.375316455696202,2.6141772151898737,2.0913924050632913
2023-01-21,3.459493670886076,1.4016455696202532,1.7712658227848102
2023-01-28,2.5064556962025315,0.9022784810126583,1.6232911392405065
2023-02-04,2.2179746835443037,0.6881012658227849,1.6172151898734177
2023-02-11,2.2583544303797467,0.5611392405063291,1.6877215189873416
2023-02-18,2.400632911392405,0.44240506329113927,1.7840506329113923
2023-02-25,2.430379746835443,0.3332911392405063,1.8775949367088605
2023-03-04,2.3679746835443036,0.25265822784810127,1.9650632911392407
2023-03-11,2.296455696202532,0.19835443037974684,2.0318987341772154
2023-03-18,2.2530379746835445,0.16392405063291138,2.0487341772151897
2023-03-25,2.1941772151898733,0.1449367088607595,1.9830379746835443
2023-04-01,2.0563291139240505,0.13151898734177217,1.8156962025316454
2023-04-08,1.810506329113924,0.11886075949367089,1.5850632911392404
2023-04-15,1.5222784810126584,0.10645569620253165,1.3536708860759494
2023-04-22,1.270506329113924,0.09848101265822785,1.1521518987341772
2023-04-29,1.0940506329113926,0.09101265822784811,0.9858227848101265
2023-05-06,0.9716455696202533,0.0879746835443038,0.8479746835443037
2023-05-13,0.869620253164557,0.08354430379746836,0.730759493670886
2023-05-20,0.7639240506329114,0.08025316455696202,0.629746835443038
2023-05-27,0.6573417721518987,0.07556962025316455,0.5427848101265823
2023-06-03,0.5641772151898734,0.07063291139240506,0.4720253164556962
2023-06-10,0.4862025316455696,0.0669620253164557,0.410253164556962
2023-06-17,0.4312658227848101,0.06329113924050633,0.3682278481012658
2023-06-24,0.3929113924050633,0.056962025316455694,0.33962025316455696
2023-07-01,0.37367088607594934,0.051012658227848104,0.3258227848101266
2023-07-08,0.3741772151898734,0.045063291139240506,0.3310126582278481
2023-07-15,0.3951898734177215,0.04265822784810127,0.35822784810126584
2023-07-22,0.44594936708860766,0.04063291139240506,0.41354430379746837
2023-07-29,0.5311392405063291,0.04025316455696202,0.5024050632911392
2023-08-05,0.6635443037974684,0.04151898734177215,0.6306329113924051
2023-08-12,0.8510126582278481,0.042911392405063295,0.8039240506329114
2023-08-19,1.0937974683544303,0.04670886075949367,1.0301265822784809
2023-08-26,1.3835443037974684,0.05481012658227848,1.3073417721518987
2023-09-02,1.6974683544303797,0.06556962025316455,1.6148101265822783
2023-09-09,1.979367088607595,0.0830379746835443,1.8894936708860761
2023-09-16,2.1681012658227847,0.10050632911392404,2.031392405063291
2023-09-23,2.1931645569620253,0.11088607594936709,1.9964556962025317
2023-09-30,2.0425316455696203,0.11620253164556962,1.860886075949367
2023-10-07,1.8369620253164558,0.11696202531645569,1.7041772151898733
2023-10-14,1.7021518987341773,0.11949367088607595,1.5869620253164558
2023-10-21,1.712151898734177,0.1239240506329114,1.5491139240506329
2023-10-28,1.877215189873418,0.13556962025316455,1.6265822784810127
2023-11-04,2.171392405063291,0.15962025316455694,1.840506329113924
2023-11-11,2.5454430379746835,0.19797468354430378,2.1721518987341772
2023-11-18,2.998101265822785,0.24734177215189873,2.5706329113924054
2023-11-25,3.5951898734177212,0.31645569620253167,2.9730379746835442
2023-12-02,4.422784810126582,0.43430379746835446,3.3915189873417724
2023-12-09,5.487088607594937,0.6545569620253164,3.8664556962025314
2023-12-16,6.6075949367088604,1.0678481012658227,4.372658227848102
2023-12-23,7.3894936708860754,1.6892405063291138,4.682151898734177
2023-12-30,7.556835443037975,2.2107594936708863,4.511012658227848
2024-01-06,7.184177215189873,2.2460759493670888,3.832405063291139
2024-01-13,6.471012658227848,2.1124050632911393,3.0536708860759494
2024-01-20,5.712405063291139,2.1464556962025316,2.4411392405063292
2024-01-27,5.24632911392405,2.5126582278481013,2.0562025316455697
2024-02-03,5.285696202531645,3.1843037974683543,1.8236708860759492
2024-02-10,5.910632911392405,4.0410126582278485,1.6784810126582277
2024-02-17,6.810886075949368,4.790253164556962,1.5748101265822785
2024-02-24,7.351645569620253,5.250126582278481,1.4670886075949368
2024-03-02,6.958860759493671,5.242658227848102,1.3149367088607595
2024-03-09,6.011518987341772,4.7235443037974685,1.120253164556962
2024-03-16,5.018860759493671,3.9816455696202535,0.9327848101265822
2024-03-23,4.222025316455697,3.267974683544304,0.7789873417721519
2024-03-30,3.522405063291139,2.6625316455696204,0.6569620253164556
2024-04-06,2.8256962025316454,2.109873417721519,0.5627848101265823
2024-04-13,2.1179746835443036,1.5546835443037974,0.4892405063291139
2024-04-20,1.5212658227848102,1.0267088607594936,0.43
2024-04-27,1.0941772151898734,0.639873417721519,0.3846835443037975
2024-05-04,0.8194936708860758,0.40189873417721517,0.35139240506329117
2024-05-11,0.6507594936708861,0.26531645569620255,0.3291139240506329
2024-05-18,0.5440506329113923,0.18683544303797467,0.31481012658227847
2024-05-25,0.47303797468354425,0.13772151898734178,0.31265822784810127
2024-06-01,0.42911392405063287,0.10329113924050633,0.3182278481012658
2024-06-08,0.4156962025316455,0.08037974683544304,0.3378481012658228
2024-06-15,0.43430379746835446,0.06354430379746837,0.37746835443037974
2024-06-22,0.4875949367088608,0.054683544303797474,0.4440506329113924
2024-06-29,0.581139240506329,0.048860759493670886,0.5432911392405063
2024-07-06,0.7193670886075949,0.04594936708860759,0.6799999999999999
2024-07-13,0.9078481012658227,0.04443037974683545,0.8559493670886077
2024-07-20,1.1278481012658228,0.044050632911392405,1.0643037974683545
2024-07-27,1.341012658227848,0.04544303797468354,1.2889873417721518
2024-08-03,1.5217721518987342,0.04911392405063291,1.4962025316455696
2024-08-10,1.6930379746835442,0.054050632911392414,1.688101265822785
2024-08-17,1.8924050632911393,0.057088607594936704,1.8820253164556964
2024-08-24,2.130886075949367,0.05962025316455696,2.0916455696202534
2024-08-31,2.3444303797468353,0.06341772151898734,2.275569620253165
2024-09-07,2.417974683544304,0.0669620253164557,2.330632911392405
2024-09-14,2.2640506329113923,0.06911392405063291,2.1741772151898733
2024-09-21,1.9850632911392405,0.07113924050632911,1.878607594936709
2024-09-28,1.6958227848101266,0.07227848101265823,1.5629113924050633
2024-10-05,,0.07151898734177216,1.299240506329114
