week_end,ed_demand_pct,ed_demand_flu,ed_demand_covid,icu_occupancy_pct,inpatient_occupancy_pct,flu_hospitalizations,covid_hospitalizations,demand_level
2023-01-07,8.24,5.00,2.52,76.44,81.48,699,1209,High
2023-01-14,5.38,2.61,2.09,75.56,81.97,403,1011,High
2023-01-21,3.46,1.40,1.77,74.76,80.90,224,870,High
2023-01-28,2.51,0.90,1.62,72.24,80.00,125,688,Moderate
2023-02-04,2.22,0.69,1.62,71.13,77.66,67,599,Moderate
2023-02-11,2.26,0.56,1.69,72.71,78.52,48,587,Moderate
2023-02-18,2.40,0.44,1.78,72.23,78.11,41,589,Moderate
2023-02-25,2.43,0.33,1.88,71.40,78.23,41,624,Moderate
2023-03-04,2.37,0.25,1.97,72.22,78.84,43,660,Moderate
2023-03-11,2.30,0.20,2.03,72.39,78.78,27,607,Moderate
2023-03-18,2.25,0.16,2.05,72.49,78.22,27,634,Moderate
2023-03-25,2.19,0.14,1.98,72.64,78.66,19,628,Moderate
2023-04-01,2.06,0.13,1.82,72.31,77.10,13,646,Moderate
2023-04-08,1.81,0.12,1.59,72.81,76.58,16,602,Moderate
2023-04-15,1.52,0.11,1.35,73.05,76.72,17,498,Moderate
2023-04-22,1.27,0.10,1.15,73.00,77.63,12,445,Low
2023-04-29,1.09,0.09,0.99,71.69,75.99,11,369,Low
2023-05-06,0.97,0.09,0.85,71.97,76.37,11,343,Low
2023-05-13,0.87,0.08,0.73,71.91,76.39,16,307,Low
2023-05-20,0.76,0.08,0.63,71.64,76.20,18,268,Low
2023-05-27,0.66,0.08,0.54,72.35,76.06,17,232,Low
2023-06-03,0.56,0.07,0.47,72.72,75.62,26,210,Low
2023-06-10,0.49,0.07,0.41,73.00,76.89,43,179,Low
2023-06-17,0.43,0.06,0.37,72.53,76.68,38,160,Low
2023-06-24,0.39,0.06,0.34,72.02,76.82,40,140,Low
2023-07-01,0.37,0.05,0.33,71.41,76.44,38,141,Low
2023-07-08,0.37,0.05,0.33,69.65,74.40,85,123,Low
2023-07-15,0.40,0.04,0.36,71.73,76.76,18,106,Low
2023-07-22,0.45,0.04,0.41,70.66,75.59,7,96,Low
2023-07-29,0.53,0.04,0.50,70.77,74.74,20,99,Low
2023-08-05,0.66,0.04,0.63,72.02,75.40,34,118,Low
2023-08-12,0.85,0.04,0.80,71.75,75.57,48,159,Low
2023-08-19,1.09,0.05,1.03,71.74,75.23,39,189,Low
2023-08-26,1.38,0.05,1.31,70.64,74.78,50,219,Low
2023-09-02,1.70,0.07,1.61,70.87,74.65,36,274,Moderate
2023-09-09,1.98,0.08,1.89,70.91,75.32,46,354,Moderate
2023-09-16,2.17,0.10,2.03,73.90,76.98,34,396,Moderate
2023-09-23,2.19,0.11,2.00,74.25,76.99,40,455,Moderate
2023-09-30,2.04,0.12,1.86,73.94,76.84,35,486,Moderate
2023-10-07,1.84,0.12,1.70,75.55,76.91,40,475,Moderate
2023-10-14,1.70,0.12,1.59,74.75,76.97,38,458,Moderate
2023-10-21,1.71,0.12,1.55,75.58,77.44,39,457,Moderate
2023-10-28,1.88,0.14,1.63,75.62,77.38,37,447,Moderate
2023-11-04,2.17,0.16,1.84,73.52,76.58,44,432,Moderate
2023-11-11,2.55,0.20,2.17,74.39,77.79,65,460,Moderate
2023-11-18,3.00,0.25,2.57,75.02,77.93,50,514,Moderate
2023-11-25,3.60,0.32,2.97,74.70,75.42,91,656,High
2023-12-02,4.42,0.43,3.39,75.77,78.01,79,823,High
2023-12-09,5.49,0.65,3.87,77.78,79.13,120,877,High
2023-12-16,6.61,1.07,4.37,76.48,78.32,140,871,High
2023-12-23,7.39,1.69,4.68,76.11,77.44,177,923,High
2023-12-30,7.56,2.21,4.51,73.81,74.43,336,1050,High
2024-01-06,7.18,2.25,3.83,77.26,78.60,423,1198,High
2024-01-13,6.47,2.11,3.05,78.67,80.07,309,1045,High
2024-01-20,5.71,2.15,2.44,76.71,78.29,256,861,High
2024-01-27,5.25,2.51,2.06,75.15,77.89,225,676,High
2024-02-03,5.29,3.18,1.82,75.67,77.46,236,615,High
2024-02-10,5.91,4.04,1.68,76.47,78.56,337,551,High
2024-02-17,6.81,4.79,1.57,75.76,78.04,537,538,High
2024-02-24,7.35,5.25,1.47,76.56,78.33,620,510,High
2024-03-02,6.96,5.24,1.31,77.44,78.59,602,502,High
2024-03-09,6.01,4.72,1.12,77.73,78.39,585,438,High
2024-03-16,5.02,3.98,0.93,76.84,78.49,471,368,High
2024-03-23,4.22,3.27,0.78,76.37,77.86,373,300,High
2024-03-30,3.52,2.66,0.66,75.07,76.89,440,259,High
2024-04-06,2.83,2.11,0.56,74.30,76.11,392,221,Moderate
2024-04-13,2.12,1.55,0.49,75.62,77.51,304,201,Moderate
2024-04-20,1.52,1.03,0.43,74.84,78.50,304,168,Moderate
2024-04-27,1.09,0.64,0.38,72.87,77.30,220,136,Low
